Date,Time,Usage Percentage,Convert Liters,Special Events,Is Weekend
2023-10-01,00:00:00,7.22,72.2,Normal day,True
2023-10-01,00:30:00,6.51,65.1,Normal day,True
2023-10-01,01:00:00,5.26,52.6,Normal day,True
2023-10-01,01:30:00,8.62,86.2,Normal day,True
2023-10-01,02:00:00,4.95,49.5,Normal day,True
2023-10-01,02:30:00,5.83,58.3,Normal day,True
2023-10-01,03:00:00,5.05,50.5,Normal day,True
2023-10-01,03:30:00,4.56,45.6,Normal day,True
2023-10-01,04:00:00,12.96,129.6,Normal day,True
2023-10-01,04:30:00,8.86,88.6,Normal day,True
2023-10-01,05:00:00,6.26,62.6,Normal day,True
2023-10-01,05:30:00,7.57,75.7,Normal day,True
2023-10-01,06:00:00,6.68,66.8,Normal day,True
2023-10-01,06:30:00,4.76,47.6,Normal day,True
2023-10-01,07:00:00,51.81,518.1,Normal day,True
2023-10-01,07:30:00,44.08,440.8,Normal day,True
2023-10-01,08:00:00,49.19,491.9,Normal day,True
2023-10-01,08:30:00,57.63,576.3,Normal day,True
2023-10-01,09:00:00,46.63,466.3,Normal day,True
2023-10-01,09:30:00,52.95,529.5,Normal day,True
2023-10-01,10:00:00,53.57,535.7,Normal day,True
2023-10-01,10:30:00,57.89,578.9,Normal day,True
2023-10-01,11:00:00,32.86,328.6,Normal day,True
2023-10-01,11:30:00,34.99,349.9,Normal day,True
2023-10-01,12:00:00,31.46,314.6,Normal day,True
2023-10-01,12:30:00,33.6,336.0,Normal day,True
2023-10-01,13:00:00,31.95,319.5,Normal day,True
2023-10-01,13:30:00,50.99,509.9,Normal day,True
2023-10-01,14:00:00,36.12,361.2,Normal day,True
2023-10-01,14:30:00,44.27,442.7,Normal day,True
2023-10-01,15:00:00,40.75,407.5,Normal day,True
2023-10-01,15:30:00,42.66,426.6,Normal day,True
2023-10-01,16:00:00,33.57,335.7,Normal day,True
2023-10-01,16:30:00,26.54,265.4,Normal day,True
2023-10-01,17:00:00,38.62,386.2,Normal day,True
2023-10-01,17:30:00,32.51,325.1,Normal day,True
2023-10-01,18:00:00,53.43,534.3,Normal day,True
2023-10-01,18:30:00,48.74,487.4,Normal day,True
2023-10-01,19:00:00,58.45,584.5,Normal day,True
2023-10-01,19:30:00,57.8,578.0,Normal day,True
2023-10-01,20:00:00,49.29,492.9,Normal day,True
2023-10-01,20:30:00,53.6,536.0,Normal day,True
2023-10-01,21:00:00,59.85,598.5,Normal day,True
2023-10-01,21:30:00,56.51,565.1,Normal day,True
2023-10-01,22:00:00,64.71,647.1,Normal day,True
2023-10-01,22:30:00,57.51,575.1,Normal day,True
2023-10-01,23:00:00,7.01,70.1,Normal day,True
2023-10-01,23:30:00,10.38,103.8,Normal day,True
2023-10-02,00:00:00,5.51,55.1,Normal day,False
2023-10-02,00:30:00,7.32,73.2,Normal day,False
2023-10-02,01:00:00,10.35,103.5,Normal day,False
2023-10-02,01:30:00,10.3,103.0,Normal day,False
2023-10-02,02:00:00,6.44,64.4,Normal day,False
2023-10-02,02:30:00,8.32,83.2,Normal day,False
2023-10-02,03:00:00,6.5,65.0,Normal day,False
2023-10-02,03:30:00,5.63,56.3,Normal day,False
2023-10-02,04:00:00,9.81,98.1,Normal day,False
2023-10-02,04:30:00,10.43,104.3,Normal day,False
2023-10-02,05:00:00,25.53,255.3,Normal day,False
2023-10-02,05:30:00,30.97,309.7,Normal day,False
2023-10-02,06:00:00,30.55,305.5,Normal day,False
2023-10-02,06:30:00,24.21,242.1,Normal day,False
2023-10-02,07:00:00,25.19,251.9,Normal day,False
2023-10-02,07:30:00,36.59,365.9,Normal day,False
2023-10-02,08:00:00,38.85,388.5,Normal day,False
2023-10-02,08:30:00,31.17,311.7,Normal day,False
2023-10-02,09:00:00,11.27,112.7,Normal day,False
2023-10-02,09:30:00,14.59,145.9,Normal day,False
2023-10-02,10:00:00,10.54,105.4,Normal day,False
2023-10-02,10:30:00,9.76,97.6,Normal day,False
2023-10-02,11:00:00,14.93,149.3,Normal day,False
2023-10-02,11:30:00,8.07,80.7,Normal day,False
2023-10-02,12:00:00,29.48,294.8,Normal day,False
2023-10-02,12:30:00,29.23,292.3,Normal day,False
2023-10-02,13:00:00,28.88,288.8,Normal day,False
2023-10-02,13:30:00,23.48,234.8,Normal day,False
2023-10-02,14:00:00,11.05,110.5,Normal day,False
2023-10-02,14:30:00,12.27,122.7,Normal day,False
2023-10-02,15:00:00,7.94,79.4,Normal day,False
2023-10-02,15:30:00,15.31,153.1,Normal day,False
2023-10-02,16:00:00,13.99,139.9,Normal day,False
2023-10-02,16:30:00,12.17,121.7,Normal day,False
2023-10-02,17:00:00,18.86,188.6,Normal day,False
2023-10-02,17:30:00,9.89,98.9,Normal day,False
2023-10-02,18:00:00,49.04,490.4,Normal day,False
2023-10-02,18:30:00,52.74,527.4,Normal day,False
2023-10-02,19:00:00,41.77,417.7,Normal day,False
2023-10-02,19:30:00,50.75,507.5,Normal day,False
2023-10-02,20:00:00,47.72,477.2,Normal day,False
2023-10-02,20:30:00,55.02,550.2,Normal day,False
2023-10-02,21:00:00,47.53,475.3,Normal day,False
2023-10-02,21:30:00,51.41,514.1,Normal day,False
2023-10-02,22:00:00,5.2,52.0,Normal day,False
2023-10-02,22:30:00,11.81,118.1,Normal day,False
2023-10-02,23:00:00,10.19,101.9,Normal day,False
2023-10-02,23:30:00,8.17,81.7,Normal day,False
2023-10-03,00:00:00,4.05,40.5,Normal day,False
2023-10-03,00:30:00,6.13,61.3,Normal day,False
