Date,Time,Usage Percentage,Convert Liters,Special Events,Is Weekend
2023-02-01,00:00:00,7.6,76.0,Normal day,False
2023-02-01,00:30:00,10.52,105.2,Normal day,False
2023-02-01,01:00:00,8.48,84.8,Normal day,False
2023-02-01,01:30:00,5.29,52.9,Normal day,False
2023-02-01,02:00:00,12.94,129.4,Normal day,False
2023-02-01,02:30:00,7.09,70.9,Normal day,False
2023-02-01,03:00:00,5.16,51.6,Normal day,False
2023-02-01,03:30:00,5.49,54.9,Normal day,False
2023-02-01,04:00:00,7.64,76.4,Normal day,False
2023-02-01,04:30:00,9.32,93.2,Normal day,False
2023-02-01,05:00:00,32.84,328.4,Normal day,False
2023-02-01,05:30:00,27.77,277.7,Normal day,False
2023-02-01,06:00:00,28.85,288.5,Normal day,False
2023-02-01,06:30:00,33.18,331.8,Normal day,False
2023-02-01,07:00:00,32.86,328.6,Normal day,False
2023-02-01,07:30:00,25.6,256.0,Normal day,False
2023-02-01,08:00:00,33.51,335.1,Normal day,False
2023-02-01,08:30:00,26.83,268.3,Normal day,False
2023-02-01,09:00:00,13.27,132.7,Normal day,False
2023-02-01,09:30:00,8.21,82.1,Normal day,False
2023-02-01,10:00:00,7.41,74.1,Normal day,False
2023-02-01,10:30:00,12.64,126.4,Normal day,False
2023-02-01,11:00:00,12.7,127.0,Normal day,False
2023-02-01,11:30:00,9.55,95.5,Normal day,False
2023-02-01,12:00:00,30.81,308.1,Normal day,False
2023-02-01,12:30:00,37.45,374.5,Normal day,False
2023-02-01,13:00:00,40.28,402.8,Normal day,False
2023-02-01,13:30:00,33.22,332.2,Normal day,False
2023-02-01,14:00:00,11.8,118.0,Normal day,False
2023-02-01,14:30:00,11.01,110.1,Normal day,False
2023-02-01,15:00:00,9.14,91.4,Normal day,False
2023-02-01,15:30:00,15.85,158.5,Normal day,False
2023-02-01,16:00:00,16.66,166.6,Normal day,False
2023-02-01,16:30:00,11.74,117.4,Normal day,False
2023-02-01,17:00:00,15.49,154.9,Normal day,False
2023-02-01,17:30:00,13.47,134.7,Normal day,False
2023-02-01,18:00:00,46.23,462.3,Normal day,False
2023-02-01,18:30:00,58.38,583.8,Normal day,False
2023-02-01,19:00:00,50.67,506.7,Normal day,False
2023-02-01,19:30:00,49.13,491.3,Normal day,False
2023-02-01,20:00:00,47.52,475.2,Normal day,False
2023-02-01,20:30:00,52.84,528.4,Normal day,False
2023-02-01,21:00:00,56.21,562.1,Normal day,False
2023-02-01,21:30:00,54.49,544.9,Normal day,False
2023-02-01,22:00:00,9.99,99.9,Normal day,False
2023-02-01,22:30:00,4.79,47.9,Normal day,False
2023-02-01,23:00:00,5.27,52.7,Normal day,False
2023-02-01,23:30:00,10.12,101.2,Normal day,False
2023-02-02,00:00:00,10.27,102.7,Normal day,False
2023-02-02,00:30:00,12.21,122.1,Normal day,False
2023-02-02,01:00:00,8.64,86.4,Normal day,False
2023-02-02,01:30:00,8.63,86.3,Normal day,False
2023-02-02,02:00:00,8.73,87.3,Normal day,False
2023-02-02,02:30:00,5.55,55.5,Normal day,False
2023-02-02,03:00:00,6.97,69.7,Normal day,False
2023-02-02,03:30:00,7.0,70.0,Normal day,False
2023-02-02,04:00:00,12.43,124.3,Normal day,False
2023-02-02,04:30:00,7.0,70.0,Normal day,False
2023-02-02,05:00:00,32.39,323.9,Normal day,False
2023-02-02,05:30:00,24.65,246.5,Normal day,False
2023-02-02,06:00:00,25.02,250.2,Normal day,False
2023-02-02,06:30:00,31.77,317.7,Normal day,False
2023-02-02,07:00:00,28.61,286.1,Normal day,False
2023-02-02,07:30:00,26.28,262.8,Normal day,False
2023-02-02,08:00:00,27.51,275.1,Normal day,False
2023-02-02,08:30:00,24.77,247.7,Normal day,False
2023-02-02,09:00:00,11.44,114.4,Normal day,False
2023-02-02,09:30:00,15.96,159.6,Normal day,False
2023-02-02,10:00:00,8.36,83.6,Normal day,False
2023-02-02,10:30:00,12.75,127.5,Normal day,False
2023-02-02,11:00:00,15.23,152.3,Normal day,False
2023-02-02,11:30:00,14.98,149.8,Normal day,False
2023-02-02,12:00:00,36.94,369.4,Normal day,False
2023-02-02,12:30:00,30.46,304.6,Normal day,False
2023-02-02,13:00:00,30.09,300.9,Normal day,False
2023-02-02,13:30:00,26.83,268.3,Normal day,False
2023-02-02,14:00:00,19.98,199.8,Normal day,False
2023-02-02,14:30:00,11.63,116.3,Normal day,False
2023-02-02,15:00:00,11.78,117.8,Normal day,False
2023-02-02,15:30:00,17.62,176.2,Normal day,False
2023-02-02,16:00:00,13.1,131.0,Normal day,False
2023-02-02,16:30:00,9.63,96.3,Normal day,False
2023-02-02,17:00:00,14.37,143.7,Normal day,False
2023-02-02,17:30:00,13.47,134.7,Normal day,False
2023-02-02,18:00:00,58.24,582.4,Normal day,False
2023-02-02,18:30:00,51.16,511.6,Normal day,False
2023-02-02,19:00:00,49.14,491.4,Normal day,False
2023-02-02,19:30:00,47.3,473.0,Normal day,False
