Date,Time,Usage Percentage,Convert Liters,Special Events,Is Weekend
2023-12-01,00:00:00,10.27,102.7,Normal day,False
2023-12-01,00:30:00,8.28,82.8,Normal day,False
2023-12-01,01:00:00,3.8,38.0,Normal day,False
2023-12-01,01:30:00,8.65,86.5,Normal day,False
2023-12-01,02:00:00,9.68,96.8,Normal day,False
2023-12-01,02:30:00,3.51,35.1,Normal day,False
2023-12-01,03:00:00,10.21,102.1,Normal day,False
2023-12-01,03:30:00,5.75,57.5,Normal day,False
2023-12-01,04:00:00,9.1,91.0,Normal day,False
2023-12-01,04:30:00,9.47,94.7,Normal day,False
2023-12-01,05:00:00,20.94,209.4,Normal day,False
2023-12-01,05:30:00,27.05,270.5,Normal day,False
2023-12-01,06:00:00,32.59,325.9,Normal day,False
2023-12-01,06:30:00,27.48,274.8,Normal day,False
2023-12-01,07:00:00,28.8,288.0,Normal day,False
2023-12-01,07:30:00,22.64,226.4,Normal day,False
2023-12-01,08:00:00,28.14,281.4,Normal day,False
2023-12-01,08:30:00,25.59,255.9,Normal day,False
2023-12-01,09:00:00,13.14,131.4,Normal day,False
2023-12-01,09:30:00,7.57,75.7,Normal day,False
2023-12-01,10:00:00,6.72,67.2,Normal day,False
2023-12-01,10:30:00,9.14,91.4,Normal day,False
2023-12-01,11:00:00,13.18,131.8,Normal day,False
2023-12-01,11:30:00,14.55,145.5,Normal day,False
2023-12-01,12:00:00,32.03,320.3,Normal day,False
2023-12-01,12:30:00,22.74,227.4,Normal day,False
2023-12-01,13:00:00,28.79,287.9,Normal day,False
2023-12-01,13:30:00,34.93,349.3,Normal day,False
2023-12-01,14:00:00,12.66,126.6,Normal day,False
2023-12-01,14:30:00,8.6,86.0,Normal day,False
2023-12-01,15:00:00,15.52,155.2,Normal day,False
2023-12-01,15:30:00,10.91,109.1,Normal day,False
2023-12-01,16:00:00,7.92,79.2,Normal day,False
2023-12-01,16:30:00,12.49,124.9,Normal day,False
2023-12-01,17:00:00,16.17,161.7,Normal day,False
2023-12-01,17:30:00,11.87,118.7,Normal day,False
2023-12-01,18:00:00,43.21,432.1,Normal day,False
2023-12-01,18:30:00,44.67,446.7,Normal day,False
2023-12-01,19:00:00,37.11,371.1,Normal day,False
2023-12-01,19:30:00,43.17,431.7,Normal day,False
2023-12-01,20:00:00,54.0,540.0,Normal day,False
2023-12-01,20:30:00,40.07,400.7,Normal day,False
2023-12-01,21:00:00,53.67,536.7,Normal day,False
2023-12-01,21:30:00,50.59,505.9,Normal day,False
2023-12-01,22:00:00,6.67,66.7,Normal day,False
2023-12-01,22:30:00,8.95,89.5,Normal day,False
2023-12-01,23:00:00,9.88,98.8,Normal day,False
2023-12-01,23:30:00,10.61,106.1,Normal day,False
2023-12-02,00:00:00,6.19,61.9,Normal day,True
2023-12-02,00:30:00,8.84,88.4,Normal day,True
2023-12-02,01:00:00,9.86,98.6,Normal day,True
2023-12-02,01:30:00,9.93,99.3,Normal day,True
2023-12-02,02:00:00,5.86,58.6,Normal day,True
2023-12-02,02:30:00,3.6,36.0,Normal day,True
2023-12-02,03:00:00,9.97,99.7,Normal day,True
2023-12-02,03:30:00,7.24,72.4,Normal day,True
2023-12-02,04:00:00,8.47,84.7,Normal day,True
2023-12-02,04:30:00,10.25,102.5,Normal day,True
2023-12-02,05:00:00,5.08,50.8,Normal day,True
2023-12-02,05:30:00,8.56,85.6,Normal day,True
2023-12-02,06:00:00,5.08,50.8,Normal day,True
2023-12-02,06:30:00,9.79,97.9,Normal day,True
2023-12-02,07:00:00,42.54,425.4,Normal day,True
2023-12-02,07:30:00,46.41,464.1,Normal day,True
2023-12-02,08:00:00,44.09,440.9,Normal day,True
2023-12-02,08:30:00,39.6,396.0,Normal day,True
2023-12-02,09:00:00,47.29,472.9,Normal day,True
2023-12-02,09:30:00,40.02,400.2,Normal day,True
2023-12-02,10:00:00,36.85,368.5,Normal day,True
2023-12-02,10:30:00,49.19,491.9,Normal day,True
2023-12-02,11:00:00,28.0,280.0,Normal day,True
2023-12-02,11:30:00,28.31,283.1,Normal day,True
2023-12-02,12:00:00,33.44,334.4,Normal day,True
2023-12-02,12:30:00,34.62,346.2,Normal day,True
2023-12-02,13:00:00,27.53,275.3,Normal day,True
2023-12-02,13:30:00,33.99,339.9,Normal day,True
2023-12-02,14:00:00,37.46,374.6,Normal day,True
2023-12-02,14:30:00,40.05,400.5,Normal day,True
2023-12-02,15:00:00,38.75,387.5,Normal day,True
2023-12-02,15:30:00,27.33,273.3,Normal day,True
2023-12-02,16:00:00,22.57,225.7,Normal day,True
2023-12-02,16:30:00,24.35,243.5,Normal day,True
2023-12-02,17:00:00,33.61,336.1,Normal day,True
2023-12-02,17:30:00,31.27,312.7,Normal day,True
2023-12-02,18:00:00,51.99,519.9,Normal day,True
2023-12-02,18:30:00,46.22,462.2,Normal day,True
2023-12-02,19:00:00,45.95,459.5,Normal day,True
2023-12-02,19:30:00,40.04,400.4,Normal day,True
2023-12-02,20:00:00,42.54,425.4,Normal day,True
2023-12-02,20:30:00,45.12,451.2,Normal day,True
2023-12-02,21:00:00,49.44,494.4,Normal day,True
2023-12-02,21:30:00,44.73,447.3,Normal day,True
2023-12-02,22:00:00,46.99,469.9,Normal day,True
2023-12-02,22:30:00,46.1,461.0,Normal day,True
2023-12-02,23:00:00,5.56,55.6,Normal day,True
2023-12-02,23:30:00,6.74,67.4,Normal day,True
2023-12-03,00:00:00,5.2,52.0,Normal day,True
2023-12-03,00:30:00,4.5,45.0,Normal day,True
2023-12-03,01:00:00,6.83,68.3,Normal day,True
2023-12-03,01:30:00,4.08,40.8,Normal day,True
2023-12-03,02:00:00,7.17,71.7,Normal day,True
2023-12-03,02:30:00,6.61,66.1,Normal day,True
2023-12-03,03:00:00,8.21,82.1,Normal day,True
2023-12-03,03:30:00,9.11,91.1,Normal day,True
2023-12-03,04:00:00,4.56,45.6,Normal day,True
2023-12-03,04:30:00,5.86,58.6,Normal day,True
2023-12-03,05:00:00,8.09,80.9,Normal day,True
2023-12-03,05:30:00,10.85,108.5,Normal day,True
2023-12-03,06:00:00,9.05,90.5,Normal day,True
2023-12-03,06:30:00,9.74,97.4,Normal day,True
2023-12-03,07:00:00,47.49,474.9,Normal day,True
2023-12-03,07:30:00,36.02,360.2,Normal day,True
2023-12-03,08:00:00,38.85,388.5,Normal day,True
2023-12-03,08:30:00,45.91,459.1,Normal day,True
2023-12-03,09:00:00,40.97,409.7,Normal day,True
2023-12-03,09:30:00,42.29,422.9,Normal day,True
2023-12-03,10:00:00,41.74,417.4,Normal day,True
2023-12-03,10:30:00,39.18,391.8,Normal day,True
2023-12-03,11:00:00,33.43,334.3,Normal day,True
2023-12-03,11:30:00,27.77,277.7,Normal day,True
2023-12-03,12:00:00,23.94,239.4,Normal day,True
2023-12-03,12:30:00,28.46,284.6,Normal day,True
2023-12-03,13:00:00,32.28,322.8,Normal day,True
2023-12-03,13:30:00,34.91,349.1,Normal day,True
2023-12-03,14:00:00,28.99,289.9,Normal day,True
2023-12-03,14:30:00,44.38,443.8,Normal day,True
2023-12-03,15:00:00,28.88,288.8,Normal day,True
2023-12-03,15:30:00,29.55,295.5,Normal day,True
2023-12-03,16:00:00,30.33,303.3,Normal day,True
2023-12-03,16:30:00,33.12,331.2,Normal day,True
2023-12-03,17:00:00,24.2,242.0,Normal day,True
2023-12-03,17:30:00,25.16,251.6,Normal day,True
2023-12-03,18:00:00,45.15,451.5,Normal day,True
2023-12-03,18:30:00,54.8,548.0,Normal day,True
2023-12-03,19:00:00,55.43,554.3,Normal day,True
2023-12-03,19:30:00,57.43,574.3,Normal day,True
2023-12-03,20:00:00,48.96,489.6,Normal day,True
2023-12-03,20:30:00,55.52,555.2,Normal day,True
2023-12-03,21:00:00,59.41,594.1,Normal day,True
2023-12-03,21:30:00,46.22,462.2,Normal day,True
2023-12-03,22:00:00,45.84,458.4,Normal day,True
2023-12-03,22:30:00,54.34,543.4,Normal day,True
2023-12-03,23:00:00,4.31,43.1,Normal day,True
2023-12-03,23:30:00,9.29,92.9,Normal day,True
2023-12-04,00:00:00,8.89,88.9,Normal day,False
2023-12-04,00:30:00,9.71,97.1,Normal day,False
2023-12-04,01:00:00,9.77,97.7,Normal day,False
2023-12-04,01:30:00,8.67,86.7,Normal day,False
2023-12-04,02:00:00,9.66,96.6,Normal day,False
2023-12-04,02:30:00,3.94,39.4,Normal day,False
2023-12-04,03:00:00,9.96,99.6,Normal day,False
2023-12-04,03:30:00,6.53,65.3,Normal day,False
2023-12-04,04:00:00,7.82,78.2,Normal day,False
2023-12-04,04:30:00,6.82,68.2,Normal day,False
2023-12-04,05:00:00,24.64,246.4,Normal day,False
2023-12-04,05:30:00,26.71,267.1,Normal day,False
2023-12-04,06:00:00,25.26,252.6,Normal day,False
2023-12-04,06:30:00,27.02,270.2,Normal day,False
2023-12-04,07:00:00,24.77,247.7,Normal day,False
2023-12-04,07:30:00,25.76,257.6,Normal day,False
2023-12-04,08:00:00,28.96,289.6,Normal day,False
2023-12-04,08:30:00,29.99,299.9,Normal day,False
2023-12-04,09:00:00,12.57,125.7,Normal day,False
2023-12-04,09:30:00,13.2,132.0,Normal day,False
2023-12-04,10:00:00,9.7,97.0,Normal day,False
2023-12-04,10:30:00,9.78,97.8,Normal day,False
2023-12-04,11:00:00,12.9,129.0,Normal day,False
2023-12-04,11:30:00,10.48,104.8,Normal day,False
2023-12-04,12:00:00,28.79,287.9,Normal day,False
2023-12-04,12:30:00,37.22,372.2,Normal day,False
2023-12-04,13:00:00,27.22,272.2,Normal day,False
2023-12-04,13:30:00,28.39,283.9,Normal day,False
2023-12-04,14:00:00,13.92,139.2,Normal day,False
2023-12-04,14:30:00,12.88,128.8,Normal day,False
2023-12-04,15:00:00,9.19,91.9,Normal day,False
2023-12-04,15:30:00,11.13,111.3,Normal day,False
2023-12-04,16:00:00,10.48,104.8,Normal day,False
2023-12-04,16:30:00,9.57,95.7,Normal day,False
2023-12-04,17:00:00,10.69,106.9,Normal day,False
2023-12-04,17:30:00,8.85,88.5,Normal day,False
2023-12-04,18:00:00,43.63,436.3,Normal day,False
2023-12-04,18:30:00,42.05,420.5,Normal day,False
2023-12-04,19:00:00,50.95,509.5,Normal day,False
2023-12-04,19:30:00,38.62,386.2,Normal day,False
2023-12-04,20:00:00,46.18,461.8,Normal day,False
2023-12-04,20:30:00,37.17,371.7,Normal day,False
2023-12-04,21:00:00,48.33,483.3,Normal day,False
2023-12-04,21:30:00,44.92,449.2,Normal day,False
2023-12-04,22:00:00,5.58,55.8,Normal day,False
2023-12-04,22:30:00,7.18,71.8,Normal day,False
2023-12-04,23:00:00,6.12,61.2,Normal day,False
2023-12-04,23:30:00,9.99,99.9,Normal day,False
2023-12-05,00:00:00,8.26,82.6,Normal day,False
2023-12-05,00:30:00,8.68,86.8,Normal day,False
2023-12-05,01:00:00,5.17,51.7,Normal day,False
2023-12-05,01:30:00,3.82,38.2,Normal day,False
2023-12-05,02:00:00,8.67,86.7,Normal day,False
2023-12-05,02:30:00,7.25,72.5,Normal day,False
2023-12-05,03:00:00,5.57,55.7,Normal day,False
2023-12-05,03:30:00,3.61,36.1,Normal day,False
2023-12-05,04:00:00,7.78,77.8,Normal day,False
2023-12-05,04:30:00,8.99,89.9,Normal day,False
2023-12-05,05:00:00,29.41,294.1,Normal day,False
2023-12-05,05:30:00,25.96,259.6,Normal day,False
2023-12-05,06:00:00,20.67,206.7,Normal day,False
2023-12-05,06:30:00,24.43,244.3,Normal day,False
2023-12-05,07:00:00,30.25,302.5,Normal day,False
2023-12-05,07:30:00,27.47,274.7,Normal day,False
2023-12-05,08:00:00,25.35,253.5,Normal day,False
2023-12-05,08:30:00,27.41,274.1,Normal day,False
2023-12-05,09:00:00,8.91,89.1,Normal day,False
2023-12-05,09:30:00,7.32,73.2,Normal day,False
2023-12-05,10:00:00,7.8,78.0,Normal day,False
2023-12-05,10:30:00,10.34,103.4,Normal day,False
2023-12-05,11:00:00,8.32,83.2,Normal day,False
