Date,Time,Usage Percentage,Special Events,Is Weekend
2025-04-01,00:00:00,15.5,Normal day,False
2025-04-01,00:30:00,14.88,Normal day,False
2025-04-01,01:00:00,13.38,Normal day,False
2025-04-01,01:30:00,12.23,Normal day,False
2025-04-01,02:00:00,12.82,Normal day,False
2025-04-01,02:30:00,7.09,Normal day,False
2025-04-01,03:00:00,16.46,Normal day,False
2025-04-01,03:30:00,15.45,Normal day,False
2025-04-01,04:00:00,8.14,Normal day,False
2025-04-01,04:30:00,11.79,Normal day,False
2025-04-01,05:00:00,72.3,Normal day,False
2025-04-01,05:30:00,76.67,Normal day,False
2025-04-01,06:00:00,58.82,Normal day,False
2025-04-01,06:30:00,63.63,Normal day,False
2025-04-01,07:00:00,75.99,Normal day,False
2025-04-01,07:30:00,57.69,Normal day,False
2025-04-01,08:00:00,69.3,Normal day,False
2025-04-01,08:30:00,51.23,Normal day,False
2025-04-01,09:00:00,11.49,Normal day,False
2025-04-01,09:30:00,18.09,Normal day,False
2025-04-01,10:00:00,21.31,Normal day,False
2025-04-01,10:30:00,17.17,Normal day,False
2025-04-01,11:00:00,25.33,Normal day,False
2025-04-01,11:30:00,16.29,Normal day,False
2025-04-01,12:00:00,47.61,Normal day,False
2025-04-01,12:30:00,64.65,Normal day,False
2025-04-01,13:00:00,49.48,Normal day,False
2025-04-01,13:30:00,42.61,Normal day,False
2025-04-01,14:00:00,17.52,Normal day,False
2025-04-01,14:30:00,16.83,Normal day,False
2025-04-01,15:00:00,23.2,Normal day,False
2025-04-01,15:30:00,28.79,Normal day,False
2025-04-01,16:00:00,16.46,Normal day,False
2025-04-01,16:30:00,26.6,Normal day,False
2025-04-01,17:00:00,21.03,Normal day,False
2025-04-01,17:30:00,23.49,Normal day,False
2025-04-01,18:00:00,86.72,Normal day,False
2025-04-01,18:30:00,79.16,Normal day,False
2025-04-01,19:00:00,68.99,Normal day,False
2025-04-01,19:30:00,67.73,Normal day,False
2025-04-01,20:00:00,57.39,Normal day,False
